----------------------------------------------------------------------------------
Inicio
2019-04-29 2:45:42 PM
 TOTAL DE REGISTROS 596
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|Label|
workzone 11004|active|CR|SAN JOSE, ALAJUELITA, C.P. 11004|CR11004|
workzone 30503|active|CR|CARTAGO, TURRIALBA, C.P. 30503|CR30503|
workzone 61004|active|CR|PUNTARENAS, CORREDORES, C.P. 61004|CR61004|
workzone 30504|active|CR|CARTAGO, TURRIALBA, C.P. 30504|CR30504|
workzone 11005|active|CR|SAN JOSE, ALAJUELITA, C.P. 11005|CR11005|
workzone 30505|active|CR|CARTAGO, TURRIALBA, C.P. 30505|CR30505|
workzone 61101|active|CR|PUNTARENAS, GARABITO, C.P. 61101|CR61101|
workzone 11101|active|CR|SAN JOSE, VAZQUEZ DE CORONADO, C.P. 11101|CR11101|
workzone 30506|active|CR|CARTAGO, TURRIALBA, C.P. 30506|CR30506|
workzone 30507|active|CR|CARTAGO, TURRIALBA, C.P. 30507|CR30507|
workzone 61102|active|CR|PUNTARENAS, GARABITO, C.P. 61102|CR61102|
workzone 11102|active|CR|SAN JOSE, VAZQUEZ DE CORONADO, C.P. 11102|CR11102|
workzone 30508|active|CR|CARTAGO, TURRIALBA, C.P. 30508|CR30508|
workzone 30509|active|CR|CARTAGO, TURRIALBA, C.P. 30509|CR30509|
workzone 70101|active|CR|LIMON, LIMON, C.P. 70101|CR70101|
workzone 11103|active|CR|SAN JOSE, VAZQUEZ DE CORONADO, C.P. 11103|CR11103|
workzone 30510|active|CR|CARTAGO, TURRIALBA, C.P. 30510|CR30510|
workzone 30511|active|CR|CARTAGO, TURRIALBA, C.P. 30511|CR30511|
workzone 70102|active|CR|LIMON, LIMON, C.P. 70102|CR70102|
workzone 11104|active|CR|SAN JOSE, VAZQUEZ DE CORONADO, C.P. 11104|CR11104|
workzone 30512|active|CR|CARTAGO, TURRIALBA, C.P. 30512|CR30512|
workzone 30601|active|CR|CARTAGO, ALVARADO, C.P. 30601|CR30601|
workzone 70103|active|CR|LIMON, LIMON, C.P. 70103|CR70103|
workzone 11105|active|CR|SAN JOSE, VAZQUEZ DE CORONADO, C.P. 11105|CR11105|
workzone 30602|active|CR|CARTAGO, ALVARADO, C.P. 30602|CR30602|
workzone 30603|active|CR|CARTAGO, ALVARADO, C.P. 30603|CR30603|
workzone 70104|active|CR|LIMON, LIMON, C.P. 70104|CR70104|
workzone 11201|active|CR|SAN JOSE, ACOSTA, C.P. 11201|CR11201|
workzone 30701|active|CR|CARTAGO, OREAMUNO, C.P. 30701|CR30701|
workzone 70201|active|CR|LIMON, POCOCI, C.P. 70201|CR70201|
workzone 11202|active|CR|SAN JOSE, ACOSTA, C.P. 11202|CR11202|
workzone 30702|active|CR|CARTAGO, OREAMUNO, C.P. 30702|CR30702|
workzone 70202|active|CR|LIMON, POCOCI, C.P. 70202|CR70202|
workzone 11203|active|CR|SAN JOSE, ACOSTA, C.P. 11203|CR11203|
workzone 30703|active|CR|CARTAGO, OREAMUNO, C.P. 30703|CR30703|
workzone 70203|active|CR|LIMON, POCOCI, C.P. 70203|CR70203|
workzone 70204|active|CR|LIMON, POCOCI, C.P. 70204|CR70204|
workzone 11204|active|CR|SAN JOSE, ACOSTA, C.P. 11204|CR11204|
workzone 30704|active|CR|CARTAGO, OREAMUNO, C.P. 30704|CR30704|
workzone 70205|active|CR|LIMON, POCOCI, C.P. 70205|CR70205|
workzone 70206|active|CR|LIMON, POCOCI, C.P. 70206|CR70206|
workzone 11205|active|CR|SAN JOSE, ACOSTA, C.P. 11205|CR11205|
workzone 30705|active|CR|CARTAGO, OREAMUNO, C.P. 30705|CR30705|
workzone 70301|active|CR|LIMON, SIQUIRRES, C.P. 70301|CR70301|
workzone 70302|active|CR|LIMON, SIQUIRRES, C.P. 70302|CR70302|
workzone 11301|active|CR|SAN JOSE, TIBAS, C.P. 11301|CR11301|
workzone 30801|active|CR|CARTAGO, EL GUARCO, C.P. 30801|CR30801|
workzone 70303|active|CR|LIMON, SIQUIRRES, C.P. 70303|CR70303|
workzone 70304|active|CR|LIMON, SIQUIRRES, C.P. 70304|CR70304|
workzone 11302|active|CR|SAN JOSE, TIBAS, C.P. 11302|CR11302|
workzone 30802|active|CR|CARTAGO, EL GUARCO, C.P. 30802|CR30802|
