WORK_ZONE_NAME;ZIPCODE;PAIS;ESTADO;Label
ALAJUELA, SAN CARLOS, C.P. 21012;21012;CR;active;CR21012
ALAJUELA, SAN CARLOS, C.P. 21013;21013;CR;active;CR21013
ALAJUELA, ALFARO RUIZ, C.P. 21101;21101;CR;active;CR21101
ALAJUELA, ALFARO RUIZ, C.P. 21102;21102;CR;active;CR21102
ALAJUELA, ALFARO RUIZ, C.P. 21103;21103;CR;active;CR21103
ALAJUELA, ALFARO RUIZ, C.P. 21104;21104;CR;active;CR21104
ALAJUELA, ALFARO RUIZ, C.P. 21105;21105;CR;active;CR21105
ALAJUELA, ALFARO RUIZ, C.P. 21106;21106;CR;active;CR21106
ALAJUELA, ALFARO RUIZ, C.P. 21107;21107;CR;active;CR21107
ALAJUELA, VALVERDE VEGA, C.P. 21201;21201;CR;active;CR21201
ALAJUELA, VALVERDE VEGA, C.P. 21202;21202;CR;active;CR21202
ALAJUELA, VALVERDE VEGA, C.P. 21203;21203;CR;active;CR21203
ALAJUELA, VALVERDE VEGA, C.P. 21204;21204;CR;active;CR21204
ALAJUELA, VALVERDE VEGA, C.P. 21205;21205;CR;active;CR21205
ALAJUELA, UPALA, C.P. 21301;21301;CR;active;CR21301
ALAJUELA, UPALA, C.P. 21302;21302;CR;active;CR21302
ALAJUELA, UPALA, C.P. 21303;21303;CR;active;CR21303
ALAJUELA, UPALA, C.P. 21304;21304;CR;active;CR21304
ALAJUELA, UPALA, C.P. 21305;21305;CR;active;CR21305
ALAJUELA, UPALA, C.P. 21306;21306;CR;active;CR21306
ALAJUELA, UPALA, C.P. 21307;21307;CR;active;CR21307
ALAJUELA, LOS CHILES, C.P. 21401;21401;CR;active;CR21401
ALAJUELA, LOS CHILES, C.P. 21402;21402;CR;active;CR21402
ALAJUELA, LOS CHILES, C.P. 21403;21403;CR;active;CR21403
ALAJUELA, LOS CHILES, C.P. 21404;21404;CR;active;CR21404
ALAJUELA, GUATUSO, C.P. 21501;21501;CR;active;CR21501
ALAJUELA, GUATUSO, C.P. 21502;21502;CR;active;CR21502
ALAJUELA, GUATUSO, C.P. 21503;21503;CR;active;CR21503
ALAJUELA, GAUTUSO, C.P. 21504;21504;CR;active;CR21504
CARTAGO, CARTAGO, C.P. 30101;30101;CR;active;CR30101
CARTAGO, CARTAGO, C.P. 30102;30102;CR;active;CR30102
CARTAGO, CARTAGO, C.P. 30103;30103;CR;active;CR30103
CARTAGO, CARTAGO, C.P. 30104;30104;CR;active;CR30104
CARTAGO, CARTAGO, C.P. 30105;30105;CR;active;CR30105
CARTAGO, CARTAGO, C.P. 30106;30106;CR;active;CR30106
CARTAGO, CARTAGO, C.P. 30107;30107;CR;active;CR30107
CARTAGO, CARTAGO, C.P. 30108;30108;CR;active;CR30108
CARTAGO, CARTAGO, C.P. 30109;30109;CR;active;CR30109
CARTAGO, CARTAGO, C.P. 30110;30110;CR;active;CR30110
CARTAGO, CARTAGO, C.P. 30111;30111;CR;active;CR30111
CARTAGO, PARAISO, C.P. 30201;30201;CR;active;CR30201
CARTAGO, PARAISO, C.P. 30202;30202;CR;active;CR30202
CARTAGO, PARAISO, C.P. 30203;30203;CR;active;CR30203
